address,latitude,longitude,sold,price,area,cbd,station,school
"22A Robertson Street,Hazelmere,6055",-31.90227,115.9907,2010/1/1,575000,94,13600,1200,1.237191962
"205 Jacoby Street,Mahogany Creek,6072",-31.9077,116.13628,2010/1/1,605000,214,26700,12900,4.23401342
"20 Dumsday Drive,Forrestdale,6112",-32.14837,115.9393,2010/1/1,305000,132,23100,7000,4.10614141
"31 JACQUELINE STREET,Ashfield,6054",-31.92095057,115.9356389,2010/1/1,490000,172,8000,906,1.102377903
"36 Robinson Terrace,Daglish,6008",-31.94831,115.81556,2010/1/1,1200000,168,4100,476,1.734446909
"8 Meenaar Crescent,Coolbinia,6050",-31.91065,115.85005,2010/1/1,800000,125,4700,2600,1.713948378
"31 Elstree Avenue,Menora,6050",-31.91711,115.85775,2010/1/1,1760000,298,3900,3800,1.221739987
"3 Flora Terrace,Watermans Bay,6020",-31.84655929,115.7551485,2010/1/1,868000,88,15300,3900,2.082717536
"22 Dulcify Court,Brigadoon,6069",-31.77822,116.08593,2010/1/1,900000,401,28900,15000,9.667802871
"7 Cardiff Lane,Woodbridge,6056",-31.89265085,115.9987726,2010/1/1,830000,267,14800,235,0.749620132
"9 Kearsley Rise,Murdoch,6150",-32.06123,115.83822,2010/1/1,770000,214,12300,1300,0.645658389
"5 Roudnice Lane,Champion Lakes,6111",-32.11639612,115.9902961,2010/1/1,195000,139,22100,2200,2.035459355
"758 Great Northern Highway,Herne Hill,6056",-31.82673493,116.0175687,2010/1/1,420000,112,20500,7400,3.554441273
"33 Margaret Street,Ashfield,6054",-31.91659,115.93807,2010/1/1,440000,122,8500,507,0.582871693
"73 Hayward Road,Martin,6110",-32.05836317,116.0225255,2010/1/1,950000,180,19300,2600,1.409473618
"8 Karri Street,Karnup,6176",-32.39604475,115.7854769,2010/1/1,1100000,254,49900,7900,3.047371338
"10 Horner Way,Herne Hill,6056",-31.82667,116.02243,2010/1/1,405000,123,20800,7500,3.660688272
"11 Doradeen Close,Hillman,6168",-32.28568,115.76385,2010/1/1,252000,79,38200,554,1.124966913
"5 Westerway Terrace,North Lake,6163",-32.08359,115.84406,2010/1/1,680000,205,14700,2000,1.534977822
"13 Gertrude Avenue,Champion Lakes,6111",-32.09879,116.00763,2010/10/1,550000,152,21500,1600,0.660540021
"100 Holmfirth Street,Coolbinia,6050",-31.91398,115.85706,2010/10/1,1795000,282,4300,3200,1.44369808
"24 Darwinia Court,Jarrahdale,6124",-32.33980227,116.0520242,2010/10/1,564000,205,46800,21000,9.668756914
"30 Haig Street,Ashfield,6054",-31.91565,115.93662,2010/10/1,426000,150,8400,321,0.630414419
"17 Barang Circuit,Karawara,6152",-32.00857,115.88532,2010/10/1,745000,192,6800,2700,1.068183743
"3 Moorine Court,Hillman,6168",-32.28012,115.76298,2010/10/1,275000,167,37600,1100,0.847193714
"5A Gray Close,Kiara,6054",-31.88664696,115.9336247,2010/10/1,433000,530,10200,2900,0.786803521
"10 Sedgman Mews,Murdoch,6150",-32.06259,115.82764,2010/10/1,760000,247,12600,2200,1.21235096
"20 Ford Street,Woodbridge,6056",-31.88988174,115.9921881,2010/10/1,1150000,226,14400,194,0.336243742
"3 Second Avenue,Woodbridge,6056",-31.89073,115.99132,2010/10/1,550000,155,14300,136,0.310010447
"8 Killaloe Place,Waterford,6152",-32.0133,115.8874,2010/10/1,1150000,340,7300,3000,0.586736354
"225 O'connor Road,Mahogany Creek,6072",-31.91276211,116.1359407,2010/10/1,880000,200,26500,13000,4.242814635
"26 Chateau Place,Belhus,6069",-31.77254,116.00177,2010/10/1,875000,270,24100,13300,2.642577676
"9 Sassoon Place,North Lake,6163",-32.08093,115.81891,2010/10/1,745000,197,14800,3400,0.959074927
"397 Walcott Street,Coolbinia,6050",-31.91621,115.8504,2010/10/1,980000,293,4100,2600,1.38734964
"9 Bardoc Court,Hillman,6168",-32.28296,115.76593,2010/10/1,305000,114,37800,913,1.172466746
"462 Forrest Road,Haynes,6112",-32.16450117,115.9727973,2010/10/1,921000,243,26000,4000,2.509310599
"64 Tottenham Street,Chidlow,6556",-31.86049,116.27249,2010/11/1,410000,110,40400,25900,5.172061687
"235 Sydney Road,Gnangara,6077",-31.77936,115.86497,2010/11/1,830000,167,19300,8200,3.058047825
"15 Nowranie Place,Hillman,6168",-32.28408,115.76606,2010/11/1,290000,154,38000,812,1.224981741
"1/3 Addlewell Glen,Kiara,6054",-31.88059883,115.9341226,2010/11/1,370000,120,10700,3600,0.362253738
"4 Bilya Avenue,Mardella,6125",-32.308,115.98291,2010/11/1,535000,165,41300,17400,4.336751632
"120 Millhouse Road,Belhus,6069",-31.77484,116.00706,2010/11/1,1175000,279,24200,13000,2.980081822
"52 McKenna Drive,Cardup,6122",-32.24985,115.95349,2010/11/1,980000,241,34300,10600,4.182050301
"14 Darrowby Place,Sawyers Valley,6074",-31.9045,116.20649,2010/11/1,585000,175,33300,19500,2.558825824
"10 Wareana Street,Menora,6050",-31.91242,115.86244,2010/11/1,965000,477,4400,3000,1.197869877
"52 Cardigan Terrace,Jolimont,6014",-31.94718,115.80906,2010/11/1,930000,139,4700,664,1.50516357
"194 Boulonnais Drive,Brigadoon,6069",-31.79186,116.06764,2010/11/1,1055000,366,26600,12800,7.775044455
"11 Omagh Grove,Waterford,6152",-32.01484531,115.8913823,2010/11/1,1350000,257,7600,3400,0.174456601
"5 Amherst Road,Woodbridge,6056",-31.89184199,115.9956771,2010/11/1,390000,93,14600,333,0.724879926
"37 Hartwell Street,Coolbinia,6050",-31.91294,115.85443,2010/11/1,960000,120,4400,3000,1.699519494
"11 Casitas Street,Champion Lakes,6111",-32.11668967,115.9896639,2010/11/1,185000,185,22100,2300,2.084158477
"58 Boulonnais Drive,Brigadoon,6069",-31.78006,116.07241,2010/11/1,1610000,282,27800,14100,8.373739906
"27 Gawler Way,Calista,6167",-32.24497,115.80475,2010/11/1,285000,111,33000,2400,1.204381792
"111 Railway Crescent,Millendon,6056",-31.80917711,116.0261799,2010/11/1,1150000,192,22600,9600,4.188696834
"11 Zuvela Court,Murdoch,6150",-32.06169,115.83496,2010/11/1,810000,264,12400,1600,0.913017043
"1065 Helena Terrace,Sawyers Valley,6074",-31.90242,116.19146,2010/11/1,730000,240,31900,18000,1.135090515
"17 Clyde Road,Menora,6050",-31.91942,115.8593,2010/11/1,1600000,251,3700,3500,1.006689408
"21 Murchison Street,Coolbinia,6050",-31.91243,115.85237,2010/11/1,1450000,275,4500,2800,1.742324135
"5 Nash Street,Daglish,6008",-31.95584849,115.8059483,2010/11/1,660000,125,5000,406,0.510405162
"40 Fletcher Road,Karnup,6176",-32.39049,115.78579,2010/11/1,1095000,173,49300,7300,3.536879168
"5A Nash Street,Daglish,6008",-31.95584849,115.8059483,2010/11/1,660000,125,5000,384,0.510405162
"30 Heidelberg Road,Bickley,6076",-32.00058551,116.0909335,2010/11/1,1100000,225,22600,11600,1.600395368
"7 Battery Road,Parkerville,6081",-31.8828,116.14057,2010/11/1,458000,194,27700,13200,4.145145331
"10 Quindalup Court,Hillman,6168",-32.28553,115.76298,2010/11/1,350000,170,38200,540,1.048507215
"2 Calume Street,Hillman,6168",-32.28171,115.75987,2010/11/1,215000,99,37800,952,0.58723256
"143 Millhouse Road,Belhus,6069",-31.77600305,116.0039886,2010/12/1,655000,284,22500,13100,2.689608188
"15 Rigoll Court,Mundijong,6123",-32.28822,115.98584,2010/12/1,456500,166,39300,15200,2.127052681
"68 Randell Road,Mardella,6125",-32.30883928,115.9742629,2010/12/1,1000000,330,41400,17800,4.642564172
"250 Aldersyde Road,Bickley,6076",-31.98949,116.09548,2010/12/1,1500000,252,22700,12600,2.810844992
"11 Cassidy Place,Murdoch,6150",-32.06387,115.82925,2010/12/1,915000,260,12700,2000,1.055789548
"10 Harrison Way,Calista,6167",-32.24896,115.80476,2010/12/1,280000,92,33400,2000,1.316393165
"109 Bruns Drive,Darling Downs,6122",-32.19054729,116.0127375,2010/12/1,1220000,290,30200,4100,3.231607992
"17 Haig Street,Ashfield,6054",-31.91699,115.93566,2010/12/1,500000,158,8300,446,0.786602942
"14 Dunstan Place,Murdoch,6150",-32.06201,115.83769,2010/12/1,650000,200,12400,1300,0.743469903
"265 Victoria Road,Hovea,6071",-31.88066,116.12911,2010/12/1,967500,325,26700,12200,4.641999772
"27 Frederic Street,Koongamia,6056",-31.90966954,116.0423457,2010/12/1,305000,130,18000,4400,2.475302871
"16 Gratwick Terrace,Murdoch,6150",-32.06185,115.83366,2010/12/1,750000,193,12400,1700,1.025229103
"4 Perry Place,Parkerville,6081",-31.874387,116.1446602,2010/12/1,400000,349,28400,13700,4.315137699
"29 Marradong Street,Coolbinia,6050",-31.91227,115.85116,2010/12/1,1500000,261,4500,2700,1.790453343
"214 Marri Park Drive,Casuarina,6167",-32.23237,115.88018,2010/12/1,1100000,301,31300,3600,4.578140989
"48 Gillon Street,Karawara,6152",-32.00991238,115.8811051,2010/12/1,519000,89,6800,2400,1.167800535
"13b Hendy Green,Murdoch,6150",-32.05996,115.83192,2010/12/1,517000,145,12300,1900,1.086798399
"4 Cubbine Close,Hillman,6168",-32.28712,115.76001,2010/12/1,288900,99,38400,361,0.976789709
"825 Oxley Road,Hovea,6071",-31.88947,116.11128,2010/12/1,765000,130,24800,10400,2.742026849
"8 Tonkin Street,Mundijong,6123",-32.28742,115.98806,2010/12/1,360000,137,39300,15100,1.998698863
"20 Seminara Place,Mariginiup,6078",-31.69722,115.86105,2010/12/1,1100000,262,28400,11700,6.102387757
"34 Masefield Avenue,North Lake,6163",-32.08312,115.82009,2010/12/1,487000,165,15000,3400,1.034599332
"25 Bradbury Way,Samson,6163",-32.06728,115.79985,2010/12/1,465000,130,14000,4800,0.857780454
"11 Hibbertia Court,Jarrahdale,6124",-32.34516655,116.0561348,2010/12/1,650000,242,47400,21600,10.37845642
"68 Walanna Drive,Karawara,6152",-32.00676,115.88648,2010/12/1,840000,224,6600,2900,1.04657929
"137 Railway Parade,Upper Swan,6069",-31.76604,116.02452,2010/12/1,880000,450,26000,14100,4.853672132
"2/13 Koolunda Court,Karawara,6152",-32.00773837,115.8783705,2010/2/1,580000,147,6400,2100,0.817636974
"87 Milina Street,Hillman,6168",-32.28703,115.76411,2010/2/1,150000,150,38300,438,1.234792801
"6 Hartwell Street,Coolbinia,6050",-31.91041,115.85318,2010/2/1,1095000,255,4700,2900,1.511938821
"2055 Clayton Road,Boya,6056",-31.92382745,116.0610562,2010/2/1,860000,206,19300,6700,1.313674934
"76 Unnaro Street,Hillman,6168",-32.28148,115.76702,2010/2/1,286000,128,37700,1100,1.238330811
"8 Beenan Close,Karawara,6152",-32.00796,115.87621,2010/2/1,581000,105,6400,1900,0.675000502
"37 Lenzo Court,Gnangara,6077",-31.7739387,115.8713584,2010/2/1,900000,120,19900,8800,3.675293384
"1 Narla Place,Koongamia,6056",-31.90288,116.03947,2010/2/1,262000,90,17900,3900,1.773487244
"76 McNeill Road,Champion Lakes,6111",-32.12586668,115.977937,2010/2/1,690000,104,22300,3200,2.151645287
"14 Coleridge Place,North Lake,6163",-32.08194,115.81961,2010/2/1,750000,230,14900,3400,1.089355013
"8A Wingate Avenue,Hazelmere,6055",-31.90071505,115.9961215,2010/2/1,624000,208,14200,1100,1.371589561
"16 Beverley Street,Coolbinia,6050",-31.91264,115.85363,2010/2/1,950000,260,4400,2900,1.703398186
"59 Monaco Avenue,North Lake,6163",-32.08043,115.81803,2010/2/1,500000,95,14800,3400,0.870128725
"24 Mustang Road,Champion Lakes,6111",-32.12484861,115.9790964,2010/2/1,599000,345,22300,3200,2.180224991
"35 Barang Circuit,Karawara,6152",-32.0075674,115.8863457,2010/2/1,980000,275,6700,2900,1.037131882
"5/8 Johnston Street,Peppermint Grove,6011",-32.00367,115.76056,2010/2/1,599000,87,10900,489,0.700973763
"585 Sexton Street,Sawyers Valley,6074",-31.89839461,116.197635,2010/2/1,319000,110,32600,18600,1.640221984
"9 Kingsbury Drive,Jarrahdale,6124",-32.33800969,116.0701506,2010/2/1,550000,201,47300,21200,10.61988652
"153 Milina Street,Hillman,6168",-32.2844,115.76984,2010/2/1,296000,125,37900,1000,1.571232928
"42 Swallow Hill Court,Karnup,6176",-32.424767,115.797284,2010/3/1,1430000,387,52800,11200,3.369878617
"352 Campersic Road,Herne Hill,6056",-31.82263,116.05193,2010/3/1,855000,283,23300,9100,5.491799392
"12 Muja Lane,Woodbridge,6056",-31.89399883,116.0002016,2010/3/1,1075000,266,14800,278,0.643092628
"98 Coogee Road,Mariginiup,6078",-31.70831,115.82112,2010/3/1,1175000,178,27400,6900,2.556721689
"13 Hanlin Way,Samson,6163",-32.07267343,115.7972404,2010/3/1,495000,178,14600,5100,0.364740481
"15 West Parade,Hazelmere,6055",-31.90345,115.99335,2010/3/1,600000,110,13800,1400,1.505719113
"26 Bernley Drive,Viveash,6056",-31.87612,115.99691,2010/3/1,500000,200,15500,1800,0.759094457
"66a Beach Road,Watermans Bay,6020",-31.84645,115.75876,2010/3/1,720000,173,15100,3600,1.771163607
"41 Fremnells Vale,Cardup,6122",-32.26113195,115.9828359,2010/3/1,472000,233,36200,12200,1.237054235
"140 McNeill Road,Champion Lakes,6111",-32.12883,115.97011,2010/3/1,750000,193,22300,4000,2.468824024
"117 Bottlebrush Drive,Kiara,6054",-31.88462,115.93791,2010/3/1,190000,117,10600,2300,0.840576399
"25 Centaur Circle,Woodbridge,6056",-31.89324,115.99853,2010/3/1,1100000,273,14700,292,0.77890558
"6 Kardan Circuit,Karawara,6152",-32.0087,115.88113,2010/3/1,820000,224,6600,2400,1.094958222
"22 Wilsmore Street,Daglish,6008",-31.95021884,115.8075275,2010/3/1,1350000,180,4900,565,1.137563254
"16 Lakelands Drive,Gnangara,6077",-31.78443,115.84735,2010/3/1,900000,200,18600,6300,3.074870008
"50 Elstree Avenue,Coolbinia,6050",-31.91552,115.85709,2010/3/1,1000000,177,4100,3200,1.353077073
"4 Marriott Road,Boya,6056",-31.91727079,116.0494634,2010/3/1,525000,191,18400,5400,2.358110276
"2 Draper Road,Mahogany Creek,6072",-31.90267422,116.1309129,2010/3/1,465000,129,26300,12400,3.765237385
"224 Gossage Road,Oldbury,6121",-32.25223001,115.9496125,2010/3/1,1520000,497,34000,6600,4.372475263
"1 Kent Street,Viveash,6056",-31.87724,116.00034,2010/3/1,300000,104,15800,1600,0.411988195
"12 Hollis Street,Samson,6163",-32.0727,115.79537,2010/3/1,400000,264,14700,5200,0.188441521
"33A Dorothy Street,Ashfield,6054",-31.91705,115.93924,2010/3/1,535000,175,8500,584,0.552069157
"4 Japonica Way,Murdoch,6150",-32.05923,115.82945,2010/3/1,725000,176,12200,2100,1.292545352
"191 Wright Road,Mardella,6125",-32.31665,115.98227,2010/3/1,810000,120,42200,18400,5.295085003
"45 Marshall Way,Samson,6163",-32.06454649,115.7947077,2010/3/1,535000,137,13900,5300,0.915108665
"785 O'Connor Road,Mahogany Creek,6072",-31.91753,116.1356,2010/3/1,695000,200,26400,13100,4.317044793
"26 Kardan Circuit,Karawara,6152",-32.00827,115.88127,2010/3/1,785000,220,6600,2400,1.082898455
"24 Wilsmore Street,Daglish,6008",-31.95011,115.8077,2010/3/1,1350000,205,4800,555,1.154938652
"1/24 Melinga Court,Karawara,6152",-32.00953,115.88414,2010/3/1,427500,126,6800,2600,1.075682012
"11 Grove Road,Walliston,6076",-31.99868826,116.074328,2010/3/1,450000,176,21000,10300,2.11238994
"9 Leawood Crescent,Boya,6056",-31.91818,116.05032,2010/3/1,475000,360,18500,5500,2.266563544
"686 Hopkinson Road,Cardup,6122",-32.24235574,115.9721085,2010/3/1,795000,251,34000,10600,3.503815496
"20 Kirkstall Way,Sawyers Valley,6074",-31.90025,116.20051,2010/3/1,549500,208,32800,18900,1.919173857
"45 Dumbarton Crescent,Menora,6050",-31.92021,115.85644,2010/3/1,1935000,290,3500,3400,1.261565906
"4 Acorn Mews,Kiara,6054",-31.87975,115.93863,2010/4/1,557000,280,11000,2800,0.420302779
"15 Koolgoo Way,Koongamia,6056",-31.90867,116.03839,2010/4/1,297492,92,17600,4000,2.42290657
"116 Karbro Drive,Cardup,6122",-32.25553992,115.9847345,2010/4/1,453000,320,35800,11600,1.686784485
"28 Wallsend Road,Woodbridge,6056",-31.89416881,116.000491,2010/4/1,825000,238,14900,291,0.623252367
"28 Musgrove Crescent,Boya,6056",-31.91768452,116.0560759,2010/4/1,618000,204,19000,6000,1.733477116
"18 Beverley Street,Coolbinia,6050",-31.91251,115.85354,2010/4/1,915000,129,4500,2900,1.694659261
